Ano,Mes,Temperatura_celsius_prom_nacional,Lluvia_mm_prom_nacional,Precio_diesel_automotriz_mxplitro_prom_nacional,Indice_severidad_ponderada_sequia_prom_nacional,Precio_maizblanco_mxpkilo_prom_nacional,INPC_prom_nacional,Produccion_maizblanco_kg_prom_nacional,Precio_prom_CBOT_mxpkilo_maiz_internacional,Tipo_cambio_mxpdolar_prom_nacional,Demanda_maizblanco_kg_prom_nacional,Costo_transporte_maiz_mxpkilo_prom_nac
2011,2,18,14.58,8.97,201.32,3.98,73.212,1010800000,3.46,12.04,1926000000,0.55
2011,3,21.9,21.91,9.05,200.29,4.1,73.411,490200000,3.45,12.01,1929000000,0.55
2011,4,24.3,28.51,9.13,336,4.25,73.512,460700000,3.74,11.73,1931000000,0.55
2011,5,26.6,55.6,9.21,331.3,4.35,73.611,1790100000,3.6,11.69,1934000000,0.56
2011,6,26.3,168.8,9.29,333.45,4.2,73.712,4380400000,3.85,11.82,1937000000,0.56
2011,7,25,215.14,9.37,271.04,4.4,73.913,2420900000,3.43,11.66,1935000000,0.56
2011,8,25.1,244.56,9.45,199.91,4.32,74.211,740300000,3.71,12.22,1938000000,0.57
2011,9,24.6,232.48,9.53,148.82,4.28,74.512,620800000,3.85,13.11,1942000000,0.57
2011,10,22.9,129.73,9.61,149.53,4.12,74.811,1190500000,3.64,13.48,1940000000,0.58
2011,11,20.1,39.04,9.69,151.78,4.05,75.213,3420100000,3.58,13.63,1944000000,0.58
2011,12,16.9,31.02,9.77,199.5,4,75.614,3990600000,3.43,13.71,1947000000,0.59
2012,1,16.4,18.56,9.85,204.18,4.15,76.011,3460800000,3.39,13.41,1950000000,0.59
2012,2,18.1,13.48,9.94,204.1,4.22,76.212,1040200000,3.39,12.89,1952000000,0.6
2012,3,22,19.13,10.03,200.29,4.32,76.411,510900000,3.4,12.72,1955000000,0.6
2012,4,24.3,25.48,10.12,334.92,4.46,76.512,480300000,3.34,13.04,1957000000,0.61
2012,5,26.5,58.41,10.21,331.84,4.55,76.611,1850700000,3.36,13.62,1960000000,0.61
2012,6,26.3,169.23,10.3,331.29,4.4,76.712,4510100000,3.66,13.94,1963000000,0.61
2012,7,25.2,237.38,10.39,269.54,4.6,76.913,2510400000,4.43,13.4,1961000000,0.62
2012,8,25.2,209.48,10.48,199.94,4.52,77.211,770900000,4.5,13.18,1964000000,0.62
2012,9,24.5,240.52,10.57,148.25,4.47,77.512,650200000,4.13,12.98,1968000000,0.63
2012,10,22.8,118.81,10.66,147.48,4.32,77.811,1240600000,4.11,12.91,1966000000,0.63
2012,11,20.3,42.16,10.75,153.39,4.25,78.213,3550300000,4.14,13.08,1970000000,0.64
2012,12,17.2,27.52,10.84,199.69,4.2,78.614,4150800000,3.91,12.87,1973000000,0.64
2013,1,16.3,18.3,10.93,44.51,4.1,79.011,3490200000,3.83,12.71,1976000000,0.65
2013,2,18.1,12.78,11.04,45.86,4.15,79.212,1050600000,3.78,12.69,1978000000,0.65
2013,3,21.7,18.93,11.15,41.23,4.22,79.411,520100000,3.79,12.43,1981000000,0.66
2013,4,24.2,29.09,11.26,53.26,4.32,79.512,490800000,3.34,12.21,1983000000,0.66
2013,5,26.7,59.98,11.37,54.82,4.38,79.611,1880400000,3.44,12.25,1986000000,0.67
2013,6,26.2,160.26,11.48,56.46,4.25,79.712,4550900000,3.62,12.93,1989000000,0.67
2013,7,25.2,250.15,11.59,47.11,4.42,79.913,2540300000,3.04,12.79,1987000000,0.68
2013,8,25,207.87,11.7,47.09,4.35,80.211,780200000,2.62,13,1990000000,0.68
2013,9,24.7,223.48,11.81,31.84,4.31,80.512,660700000,2.57,13.13,1994000000,0.69
2013,10,22.7,121.23,11.92,33.4,4.18,80.811,1260100000,2.43,13.01,1992000000,0.69
2013,11,20.2,40.08,12.03,32.97,4.12,81.213,3600500000,2.34,13.09,1996000000,0.7
2013,12,17,27.03,12.14,47.83,4.08,81.614,4210400000,2.33,13.02,1999000000,0.7
2014,1,16.3,17.96,12.25,46.64,4.02,82.011,3520100000,2.4,13.2,2002000000,0.72
2014,2,18.2,14.34,12.36,43.94,4.06,82.212,1060400000,2.51,13.27,2004000000,0.72
2014,3,21.8,21.36,12.47,41.81,4.12,82.411,530800000,2.67,13.16,2007000000,0.73
2014,4,24.2,25.84,12.58,56.9,4.21,82.512,500200000,2.75,13.06,2009000000,0.73
2014,5,26.5,63.42,12.69,55.01,4.26,82.611,1910600000,2.62,12.93,2012000000,0.74
2014,6,26.1,162.15,12.8,56.53,4.15,82.712,4610300000,2.45,13,2015000000,0.74
2014,7,25.1,232.92,12.91,49.26,4.3,82.913,2580900000,2.17,12.97,2013000000,0.75
2014,8,25,262.63,13.02,45.15,4.24,83.211,790500000,2.05,13.13,2016000000,0.75
2014,9,24.7,224.14,13.13,31.33,4.21,83.512,670100000,1.91,13.22,2020000000,0.76
2014,10,22.9,102.9,13.24,34.78,4.1,83.811,1280400000,1.98,13.46,2018000000,0.76
2014,11,20.1,32.64,13.35,33.02,4.05,84.213,3650200000,2.13,13.62,2022000000,0.77
2014,12,17,28.34,13.46,48.16,4.02,84.614,4260800000,2.4,14.43,2025000000,0.77
2015,1,16.7,19.92,13.77,47.07,3.98,87.11,3580600000,2.39,14.68,2028000000,0.78
2015,2,18.4,13.05,13.77,45.75,4.02,87.275,1080100000,2.38,14.92,2030000000,0.78
2015,3,22.4,18.95,13.77,49.03,4.08,87.63,540300000,2.44,15.21,2033000000,0.78
2015,4,24.6,26.86,13.77,55.55,4.16,87.403,510900000,2.38,15.22,2035000000,0.78
2015,5,26.9,53.23,13.77,56.41,4.2,86.967,1940200000,2.31,15.26,2038000000,0.78
2015,6,26.5,178.01,13.77,57.37,4.11,87.113,4690800000,2.39,15.47,2041000000,0.79
2015,7,25.6,244.64,13.77,48.18,4.26,87.24,2620400000,2.73,15.92,2039000000,0.79
2015,8,25.5,237.2,13.77,43.9,4.2,87.424,810100000,2.56,16.49,2042000000,0.79
2015,9,25,203.34,13.77,34.46,4.17,87.752,680600000,2.71,16.85,2046000000,0.8
2015,10,23.2,115.56,13.77,33.09,4.06,88.203,1310300000,2.69,16.58,2044000000,0.8
2015,11,20.6,37.89,13.77,32.47,4.01,88.685,3720900000,2.57,16.63,2048000000,0.8
2015,12,17.4,27.61,13.77,44.56,3.98,89.046,4340500000,2.67,17.03,2051000000,0.81
2016,1,16.9,18.47,13.77,41.79,4.12,89.386,3650400000,2.75,18.02,2054000000,0.81
2016,2,18.6,15.2,13.77,44.47,4.18,89.777,1100900000,2.8,18.47,2056000000,0.82
2016,3,22.3,19.12,13.77,44.38,4.26,89.91,550400000,2.69,17.69,2059000000,0.82
2016,4,24.7,26.58,13.77,57.04,4.38,89.625,520100000,2.71,17.48,2061000000,0.82
2016,5,26.9,61.27,13.77,57.92,4.45,89.225,1980700000,2.97,18.09,2064000000,0.83
2016,6,26.8,184.97,13.77,55.22,4.32,89.324,4780200000,3.35,18.65,2067000000,0.83
2016,7,25.5,248.68,13.91,43.36,4.52,89.556,2680600000,2.73,18.66,2065000000,0.84
2016,8,25.3,234.58,13.96,47.29,4.44,89.809,820400000,2.59,18.47,2068000000,0.84
2016,9,25.1,218,14.45,35.09,4.4,90.357,700300000,2.7,19.28,2072000000,0.85
2016,10,23.1,117.26,14.63,31.89,4.25,90.906,1340800000,2.75,18.91,2070000000,0.85
2016,11,20.6,41.09,14.63,34.24,4.18,91.616,3800100000,2.95,20.03,2074000000,0.86
2016,12,17.4,28.21,14.63,44.59,4.14,92.039,4430900000,3.01,20.48,2077000000,0.87
2017,1,16.9,20.7,17.05,42.85,4.3,93.603,3660100000,3.21,21.38,2080000000,0.92
2017,2,18.6,15.19,17.03,42.28,4.36,94.144,1110300000,3.14,20.14,2082000000,0.93
2017,3,22.4,17.88,17.02,44.96,4.45,94.722,560200000,2.97,19.43,2085000000,0.94
2017,4,24.6,30.45,16.85,58.76,4.58,94.838,520800000,2.83,18.78,2087000000,0.94
2017,5,27,57.13,16.8,50.9,4.65,94.725,1990400000,2.88,18.56,2090000000,0.95
2017,6,26.5,180.72,16.71,59.54,4.51,94.963,4810900000,2.87,18.15,2093000000,0.95
2017,7,25.5,230.71,16.47,43.96,4.72,95.322,2690100000,2.89,17.85,2091000000,0.96
2017,8,25.4,213.19,16.49,41.14,4.64,95.793,830700000,2.69,17.79,2094000000,0.96
2017,9,25.1,218.83,16.66,31.45,4.6,96.093,710500000,2.63,17.82,2098000000,0.97
2017,10,23.1,114.86,16.9,36.43,4.44,96.698,1350200000,2.73,18.77,2096000000,0.97
2017,11,20.7,37.64,17,31.71,4.37,97.695,3820600000,2.72,18.94,2100000000,0.98
2017,12,17.3,30.41,17.23,45.41,4.33,98.272,4450400000,2.77,19.23,2103000000,0.99
2018,1,16.7,18.24,17.41,43.26,4.45,98.795,3710500000,2.81,19.06,2106000000,1.01
2018,2,18.6,13.91,18.45,44.19,4.51,99.171,1120400000,2.88,18.64,2108000000,1.01
2018,3,22.4,19.87,18.57,45.65,4.6,99.492,560900000,3.02,18.63,2111000000,1.02
2018,4,24.6,26.51,18.64,53.98,4.74,99.154,530300000,3.02,18.36,2113000000,1.02
2018,5,27.1,59.66,18.84,57.27,4.82,98.994,2020100000,3.17,19.55,2116000000,1.03
2018,6,26.6,174.86,19.19,53.43,4.67,99.376,4880600000,3.14,20.41,2119000000,1.03
2018,7,25.7,248.68,19.36,44.62,4.9,99.909,2730400000,2.84,19.05,2117000000,1.04
2018,8,25.4,210.29,19.58,47.58,4.81,100.492,840900000,2.81,18.88,2120000000,1.05
2018,9,25.2,228.94,20.11,34.01,4.77,100.917,720200000,2.79,19.03,2124000000,1.05
2018,10,23.2,113.45,20.6,33.72,4.6,101.44,1370800000,2.97,19.29,2122000000,1.06
2018,11,20.5,40.7,20.86,31.98,4.53,102.303,3890500000,3.13,20.21,2126000000,1.07
2018,12,17.4,32.26,20.82,42.78,4.49,103.02,4520100000,3.19,20.12,2129000000,1.08
2019,1,16.8,19.39,20.84,92.9,4.65,103.108,3730900000,3.04,19.16,2132000000,1.09
2019,2,18.7,14.92,21.08,95.68,4.72,103.079,1130200000,3.05,19.24,2134000000,1.09
2019,3,22.4,20.59,21.46,92.69,4.82,103.476,570600000,3.06,19.38,2137000000,1.09
2019,4,24.7,27.4,21.64,119,4.98,103.531,540100000,2.9,19,2139000000,1.1
2019,5,27,55.42,21.69,111.28,5.06,103.233,2040800000,3.11,19.14,2142000000,1.1
2019,6,26.5,152.67,21.52,118.05,4.9,103.299,4910400000,3.59,19.21,2145000000,1.1
2019,7,25.7,229.76,21.26,93.58,5.15,103.687,2750300000,3.46,19.05,2143000000,1.11
2019,8,25.6,252.04,21.23,91.9,5.05,103.67,850100000,3.22,19.67,2146000000,1.11
2019,9,25,214.81,21.29,72.17,5.01,103.942,730700000,3.03,19.58,2150000000,1.12
2019,10,23.3,113.17,21.35,70.3,4.82,104.503,1390200000,3.14,19.27,2148000000,1.12
2019,11,20.5,40.67,21.4,72.11,4.74,105.346,3920600000,3.08,19.33,2152000000,1.13
2019,12,17.3,30.3,21.44,97.5,4.69,105.934,4560800000,3.13,19.11,2155000000,1.14
2020,1,17,20.23,21.42,47.87,4.92,106.448,3780200000,3.09,18.84,2158000000,1.14
2020,2,18.5,13.69,21.31,44.64,5.04,106.897,1150400000,3.05,18.93,2160000000,1.15
2020,3,22.3,19.51,20.5,42.36,5.18,106.84,580100000,3.42,22.18,2163000000,1.15
2020,4,24.7,29.26,19.02,53.88,5.42,105.753,550700000,3.31,24.23,2165000000,1.13
2020,5,27,60.19,18.45,57.83,5.55,106.16,2060300000,3.17,23.4,2168000000,1.14
2020,6,26.4,186.93,18.87,50.32,5.32,106.743,4980900000,3.11,22.31,2171000000,1.14
2020,7,25.4,245.64,19.3,45.86,5.68,107.443,2790500000,3.13,22.4,2169000000,1.15
2020,8,25.3,233.59,19.54,42.36,5.54,107.965,860200000,3.07,22.21,2172000000,1.16
2020,9,25.1,197.64,19.4,33.65,5.48,108.212,740100000,3.37,21.7,2176000000,1.16
2020,10,23.1,123.42,19.19,34.87,5.22,108.871,1410400000,3.56,21.28,2174000000,1.17
2020,11,20.6,41.76,19.21,33.99,5.12,109.831,3980800000,3.67,20.49,2178000000,1.18
2020,12,17.4,32.76,19.44,43.38,5.05,110.249,4620300000,3.68,20.01,2181000000,1.19
2021,1,16.8,18.81,19.53,46.85,5.5,111.191,3750600000,4.25,19.95,2184000000,1.2
2021,2,18.5,13.41,20.28,45.26,5.75,111.89,1140100000,4.68,20.32,2186000000,1.21
2021,3,22.5,17.87,21.22,44.56,6.1,112.812,570400000,4.8,20.73,2189000000,1.22
2021,4,24.8,28.14,21.41,53.31,6.55,113.821,540900000,5.08,20.08,2191000000,1.23
2021,5,26.9,60.92,21.57,50.92,6.8,114.12,2040200000,5.63,19.94,2194000000,1.24
2021,6,26.4,171.55,21.64,58.17,6.45,114.731,4940700000,5.59,20.13,2197000000,1.25
2021,7,25.6,248.62,21.7,42.76,6.95,115.342,2770100000,5.36,20.01,2195000000,1.26
2021,8,25.3,251.19,21.73,43.5,6.82,115.931,850600000,4.65,20.05,2198000000,1.27
2021,9,24.9,216.87,21.75,35.8,6.73,116.321,730400000,4.42,20.06,2202000000,1.28
2021,10,23.2,122.65,21.86,31.56,6.42,117.112,1390900000,4.65,20.42,2200000000,1.29
2021,11,20.8,39.07,22,35.24,6.25,118.421,3940300000,5.1,20.98,2204000000,1.31
2021,12,17.2,26.61,22.1,41.37,6.15,119.231,4580200000,5.18,20.95,2207000000,1.32
2022,1,16.6,21.2,22.21,46.02,7.35,119.821,3540200000,5.29,20.53,2210000000,1.33
2022,2,18.5,14.46,22.38,45.63,7.6,120.441,1070600000,5.54,20.4,2212000000,1.34
2022,3,22.5,20.76,22.78,48.28,8.02,121.321,540100000,6.36,20.48,2215000000,1.36
2022,4,24.7,27.33,23.14,55.13,8.55,122.112,510300000,6.7,20.08,2217000000,1.37
