_id,AÑO,CVE_ENT,ENTIDAD,CULTIVO,VARIEDAD,UNIDAD_MEDIDA,TIPO_TECNOLOGIA,TIPO_PRODUCCION,TIPO_MERCADO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO_MEDIO_RURAL,VALOR_PRODUCCION
44343,2004,21,Puebla,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,564661,482650.46,82010.54,855353.72,1.77,1872.73,1601849150
44422,2004,22,Querétaro,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,115382.4,102749.6,12632.8,307361.3,2.99,1516.98,466260730
44463,2004,23,Quintana Roo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,70254,24036,46218,16782.11,0.7,1963.6,32953370
44550,2004,24,San Luis Potosí,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,263763.5,218648.15,45115.35,185657.71,0.85,1520.26,282247710
44643,2004,25,Sinaloa,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,539529.08,503002.08,36527,4003626.58,7.96,1540.9,6169197240
44761,2004,26,Sonora,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,36066,18181,17885,75988.56,4.18,1345.44,102237720
44836,2004,27,Tabasco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,99721,92014,7707,150828,1.64,1580.74,238420000
44909,2004,28,Tamaulipas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,159735.87,116786.86,42949.01,405876.53,3.48,1577.77,640380710
44984,2004,29,Tlaxcala,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,120486,120118,368,292185.8,2.43,1666.3,486868980
45066,2004,30,Veracruz,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,540867.23,505577.36,35289.87,1000500.35,1.98,1904.26,1905213750
45153,2004,31,Yucatán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,152155,146052.1,6102.9,125293.77,0.86,1753.39,219688350
45234,2004,32,Zacatecas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,324423,321224.25,3198.75,412969,1.29,1765.48,729088750
45303,2005,1,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,45502,23586,21916,41394.1,1.76,1717.07,71076490
45399,2005,2,Baja California,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,731,553,178,539.64,0.98,1900,1025319
45526,2005,3,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,4546.5,4339.5,207,28121.85,6.48,1576.08,44322190
45592,2005,4,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,146249.25,137739.25,8510,351847.32,2.55,1426.99,502083790
45654,2005,5,Coahuila,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,29898.22,21595.72,8302.5,18367.55,0.85,1969.35,36172180
45737,2005,6,Colima,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,11568,11568,0,37521.39,3.24,1724.38,64701210
45815,2005,7,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,715687.87,680981.99,34705.88,1228506.03,1.8,1799.99,2211294220
45905,2005,8,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,158540.39,63936.08,94604.31,203834.48,3.19,1381.25,281545510
45982,2005,9,Ciudad de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,6120.8,5761.7,359.1,5936.94,1.03,2260.24,13418930
46058,2005,10,Durango,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,175662.26,92026.76,83635.5,254960.65,2.77,1498.4,382032830
46157,2005,11,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,389533.5,226480.12,163053.38,1037034.72,4.58,1364.66,1415204180
46264,2005,12,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,486315.52,477305.77,9009.75,1195169.25,2.5,2357.94,2818138590
46374,2005,13,Hidalgo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,237612.5,220119.75,17492.75,553721.73,2.52,1726.12,955787620
46525,2005,14,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,522877.82,484235.55,38642.27,2285009.03,4.72,1406.83,3214619050
46705,2005,15,Estado de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,523494.45,461916.93,61577.52,1166299.1,2.52,1674.47,1952933730
46890,2005,16,Michoacán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,486741.67,449785.91,36955.76,1288971.91,2.87,1448.41,1866965210
47020,2005,17,Morelos,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,29761.9,29754.9,7,84419.42,2.84,2124.76,179371080
47134,2005,18,Nayarit,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,50300.5,47384.5,2916,121783.19,2.57,1489,181335450
47210,2005,19,Nuevo León,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,66726.1,65956.5,769.6,71147.32,1.08,1509.17,107373240
47310,2005,20,Oaxaca,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,576665,485277.27,91387.73,601227.92,1.24,2473.23,1486974330
47450,2005,21,Puebla,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,540945,398153,142792,768802.28,1.93,1606.13,1234792590
47545,2005,22,Querétaro,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,106729.2,66906.1,39823.1,202051,3.02,1364.62,275723490
47588,2005,23,Quintana Roo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,64272,45506,18766,36381,0.8,2192.59,79768700
47681,2005,24,San Luis Potosí,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,236465.5,176867,59598.5,169720.05,0.96,1663.57,282342000
47777,2005,25,Sinaloa,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,530700.69,479615.69,51085,4192502.45,8.74,1301.59,5456931300
47887,2005,26,Sonora,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,25837,20457,5380,119532.5,5.84,1487.31,177781810
47964,2005,27,Tabasco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,82985,66447,16538,102161,1.54,1734.14,177161750
48037,2005,28,Tamaulipas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,164421.08,142085.08,22336,431631.46,3.04,1397.85,603354560
48114,2005,29,Tlaxcala,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,117962.5,117811,151.5,189862.91,1.61,1429.95,271493620
48203,2005,30,Veracruz,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,583715.63,482175.51,101540.12,869690.95,1.8,1907.27,1658732310
48295,2005,31,Yucatán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,171550.3,95709.42,75840.88,102733.25,1.07,1706.59,175323750
48391,2005,32,Zacatecas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,256358,132555.5,123802.5,200401.15,1.51,1846.66,370072040
48467,2006,1,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,43735,37618,6117,51243,1.36,1937.78,99297870
48566,2006,2,Baja California,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,283,33,250,85.8,2.6,2100,180180
48698,2006,3,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,4847.5,4563,284.5,26238.2,5.75,1662.33,43616500
48764,2006,4,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,131954,128824,3130,302433.2,2.35,1777.84,537679080
48825,2006,5,Coahuila,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,26706,18653,8053,19949.47,1.07,1830.33,36514020
48915,2006,6,Colima,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,10355.01,10355.01,0,31193.35,3.01,2387.69,74479900
48997,2006,7,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,704565.47,701603.47,2962,1309937.95,1.87,2176.45,2851013750
49094,2006,8,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,93093.15,86975.49,6117.66,150844.32,1.73,1854.85,279794280
49175,2006,9,Ciudad de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,6296.6,6296.6,0,8096.14,1.29,3019.03,24442510
49248,2006,10,Durango,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,191337.75,188815.75,2522,342148.83,1.81,2016.75,690028360
49348,2006,11,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,389076.13,323644.62,65431.51,1058592.98,3.27,2116.77,2240798850
49464,2006,12,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,468667,463475,5192,1205749.07,2.6,2154.92,2598288520
49584,2006,13,Hidalgo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,244747.13,237535.23,7211.9,639959.23,2.69,2179.95,1395082220
49745,2006,14,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,531311.65,506387.15,24924.5,2740716.92,5.41,2448.95,6711877250
49931,2006,15,Estado de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,560125,554225.42,5899.58,1740506.23,3.14,2203.55,3835294850
50124,2006,16,Michoacán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,402167.82,384936.27,17231.55,1382227.86,3.59,2105.72,2910578160
50251,2006,17,Morelos,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,25599,25367.94,231.06,77884.13,3.07,2853.99,222280410
50373,2006,18,Nayarit,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,42727.25,41864.25,863,172654.37,4.12,2302.32,397506440
50449,2006,19,Nuevo León,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,33646.5,32521.5,1125,35191.85,1.08,1641.9,57781520
50549,2006,20,Oaxaca,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,565243.25,478284,86959.25,627865.55,1.31,2756.33,1730606520
50698,2006,21,Puebla,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,568857.55,529860.46,38997.09,995907.83,1.88,2057.99,2049572260
50798,2006,22,Querétaro,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,106628.2,59399.2,47229,189430.12,3.19,2035.36,385559380
50837,2006,23,Quintana Roo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,61760,61303,457,48504.1,0.79,2326.67,112852950
50929,2006,24,San Luis Potosí,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,235356.09,165166.34,70189.75,162991.05,0.99,1942.77,316654280
51025,2006,25,Sinaloa,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,507561.75,485034.55,22527.2,4327682.72,8.92,1448.07,6266775270
51140,2006,26,Sonora,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,31750.8,31135.8,615,186631.55,5.99,1538.09,287056240
51215,2006,27,Tabasco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,87486,78148.5,9337.5,126382,1.62,2056.2,259867240
51287,2006,28,Tamaulipas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,121258.3,99180.3,22078,212096.2,2.14,1734.08,367791670
51366,2006,29,Tlaxcala,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,116754.5,116330.5,424,266601.09,2.29,1803.12,480712690
51457,2006,30,Veracruz,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,570613.54,533181.79,37431.75,1083759.13,2.03,1968.56,2133441000
51558,2006,31,Yucatán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,152613.46,147215.85,5397.61,138007.79,0.94,2221.85,306633050
51662,2006,32,Zacatecas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,290496,283841,6655,399365.13,1.41,1956.82,781484050
51732,2007,1,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,49477,21265,28212,47222.15,2.22,2700.39,127518200
51957,2007,3,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,4691,4556.25,134.75,27331.55,6,2435.39,66562979
52027,2007,4,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,144026,90740.25,53285.75,163457.52,1.8,2261.37,369637210
52096,2007,5,Coahuila,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,31397,27223,4174,23934.09,0.88,2485.58,59490190
52183,2007,6,Colima,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,15334,15334,0,43403.45,2.83,2486.24,107911430
52268,2007,7,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,572714.48,563777.06,8937.42,1202420.97,2.13,2476.04,2977242690
52364,2007,8,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,176085.39,147210.56,28874.83,282177.56,1.92,2109.68,595304810
52451,2007,9,Ciudad de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,6234.8,6084.8,150,9467.11,1.56,4060.34,38439680
52530,2007,10,Durango,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,205561.34,167947.84,37613.5,290316.51,1.73,2218.38,644030900
52625,2007,11,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,419723.3,356038.7,63684.6,1355966.34,3.81,2180.3,2956414170
52746,2007,12,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,446532.5,440889.85,5642.65,1244983.51,2.82,2757.23,3432706960
52876,2007,13,Hidalgo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,254921.88,225763.18,29158.7,583579.69,2.58,2573.88,1502062200
53039,2007,14,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,559656.4,534288.1,25368.3,3013946.52,5.64,2331.98,7028461410
53228,2007,15,Estado de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,567179.2,559929.1,7250.1,1953190.52,3.49,2639.4,5155248060
53422,2007,16,Michoacán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,475447.25,457233.56,18213.69,1543224.09,3.38,2305.62,3558085880
53556,2007,17,Morelos,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,24471.1,24432.1,39,79970.15,3.27,3276.61,262031370
53684,2007,18,Nayarit,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,52387.59,52382.59,5,218936.43,4.18,2640.95,578200660
53761,2007,19,Nuevo León,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,60305.86,58456.3,1849.56,58518.7,1,1931.97,113056100
53867,2007,20,Oaxaca,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,595763,560185,35578,766744.06,1.37,3332.07,2554842390
54022,2007,21,Puebla,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,581395.8,504188.26,77207.54,920890.33,1.83,2691.26,2478353120
54125,2007,22,Querétaro,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,117502.8,108062.4,9440.4,376460.23,3.48,1982.22,746226860
54165,2007,23,Quintana Roo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,64581.5,26283.3,38298.2,15692.04,0.6,2680.5,42062560
54258,2007,24,San Luis Potosí,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,259866.48,188471.3,71395.18,174875.39,0.93,2537.66,443774230
54350,2007,25,Sinaloa,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,585613.91,580567.91,5046,5087648.86,8.76,2342.34,11917008640
54464,2007,26,Sonora,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,25511.6,25399.6,112,143342.35,5.64,1828.63,262119500
54540,2007,27,Tabasco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,85700.5,59313.25,26387.25,91936.52,1.55,2848.57,261887230
54613,2007,28,Tamaulipas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,129621.74,125121.49,4500.25,339811.17,2.72,2421.99,823018360
54699,2007,29,Tlaxcala,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,116103.25,116078.25,25,261934.24,2.26,2298.35,602015450
54791,2007,30,Veracruz,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,540024.67,458561.96,81462.71,958903.22,2.09,2779.83,2665586250
54889,2007,31,Yucatán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,139265.44,132881.16,6384.28,121237.21,0.91,2901.91,351819660
54998,2007,32,Zacatecas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,343227,254082,89145,375926.92,1.48,2418.78,909283380
55071,2008,1,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,55159,53605,1554,83703.6,1.56,2843.18,237984640
55305,2008,3,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,4774,4739.5,34.5,28050.65,5.92,2497.83,70065660
55375,2008,4,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,141895,99174.43,42720.57,213786.45,2.16,2682.07,573389730
55439,2008,5,Coahuila,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,30835,19614,11221,22051.63,1.12,2522.92,55634570
55518,2008,6,Colima,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,13767,13446.5,320.5,39591,2.94,3374.07,133582980
55603,2008,7,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,599087.16,592663.66,6423.5,1355297.2,2.29,2765.73,3748379710
55700,2008,8,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,131996.01,106964.28,25031.73,208433.56,1.95,3083.55,642715530
55786,2008,9,Ciudad de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,6069.4,6069.4,0,8378.14,1.38,4247.72,35588000
55868,2008,10,Durango,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,189836.75,174848.95,14987.8,310877.18,1.78,2707.63,841740600
